Alter;AlterJahr;Geschlecht;Anzahl;Altersgruppe
unter 1 Jahr;0;männlich;19578;< 10 Jahre
unter 1 Jahr;0;weiblich;18493;< 10 Jahre
unter 1 Jahr;0;Insgesamt;38071;< 10 Jahre
1-Jährige;1;männlich;19392;< 10 Jahre
1-Jährige;1;weiblich;18301;< 10 Jahre
1-Jährige;1;Insgesamt;37693;< 10 Jahre
2-Jährige;2;männlich;19393;< 10 Jahre
2-Jährige;2;weiblich;18297;< 10 Jahre
2-Jährige;2;Insgesamt;37690;< 10 Jahre
3-Jährige;3;männlich;19290;< 10 Jahre
3-Jährige;3;weiblich;18415;< 10 Jahre
3-Jährige;3;Insgesamt;37705;< 10 Jahre
4-Jährige;4;männlich;19596;< 10 Jahre
4-Jährige;4;weiblich;18449;< 10 Jahre
4-Jährige;4;Insgesamt;38045;< 10 Jahre
5-Jährige;5;männlich;19389;< 10 Jahre
5-Jährige;5;weiblich;18645;< 10 Jahre
5-Jährige;5;Insgesamt;38034;< 10 Jahre
6-Jährige;6;männlich;18653;< 10 Jahre
6-Jährige;6;weiblich;17441;< 10 Jahre
6-Jährige;6;Insgesamt;36094;< 10 Jahre
7-Jährige;7;männlich;18109;< 10 Jahre
7-Jährige;7;weiblich;17520;< 10 Jahre
7-Jährige;7;Insgesamt;35629;< 10 Jahre
8-Jährige;8;männlich;17537;< 10 Jahre
8-Jährige;8;weiblich;16542;< 10 Jahre
8-Jährige;8;Insgesamt;34079;< 10 Jahre
9-Jährige;9;männlich;17525;< 10 Jahre
9-Jährige;9;weiblich;16547;< 10 Jahre
9-Jährige;9;Insgesamt;34072;< 10 Jahre
10-Jährige;10;männlich;16656;10 bis < 20 Jahre
10-Jährige;10;weiblich;15711;10 bis < 20 Jahre
10-Jährige;10;Insgesamt;32367;10 bis < 20 Jahre
11-Jährige;11;männlich;16907;10 bis < 20 Jahre
11-Jährige;11;weiblich;15972;10 bis < 20 Jahre
11-Jährige;11;Insgesamt;32879;10 bis < 20 Jahre
12-Jährige;12;männlich;16495;10 bis < 20 Jahre
12-Jährige;12;weiblich;15696;10 bis < 20 Jahre
12-Jährige;12;Insgesamt;32191;10 bis < 20 Jahre
13-Jährige;13;männlich;16733;10 bis < 20 Jahre
13-Jährige;13;weiblich;15611;10 bis < 20 Jahre
13-Jährige;13;Insgesamt;32344;10 bis < 20 Jahre
14-Jährige;14;männlich;16280;10 bis < 20 Jahre
14-Jährige;14;weiblich;15068;10 bis < 20 Jahre
14-Jährige;14;Insgesamt;31348;10 bis < 20 Jahre
15-Jährige;15;männlich;15343;10 bis < 20 Jahre
15-Jährige;15;weiblich;14770;10 bis < 20 Jahre
15-Jährige;15;Insgesamt;30113;10 bis < 20 Jahre
16-Jährige;16;männlich;15243;10 bis < 20 Jahre
16-Jährige;16;weiblich;14292;10 bis < 20 Jahre
16-Jährige;16;Insgesamt;29535;10 bis < 20 Jahre
17-Jährige;17;männlich;15295;10 bis < 20 Jahre
17-Jährige;17;weiblich;14439;10 bis < 20 Jahre
17-Jährige;17;Insgesamt;29734;10 bis < 20 Jahre
18-Jährige;18;männlich;14966;10 bis < 20 Jahre
